Year,Month,Day,Hour,Minute,Second,Sens1,Sens2,VarSens1,VarSens2,Temperature_C,Pressure_Pa,Altitude_m
2015,1,16,15,7,49,338.00000000,597.00000000,0.00000000,0.00000000,25.14374900,95239.00000000,534.04846000
2015,1,16,15,8,46,601.00000000,607.66669000,0.00000000,0.33333331,25.45624900,95232.00000000,534.22552000
2015,1,16,15,23,4,640.00000000,645.00000000,0.00000000,0.00000000,27.06250000,95223.00000000,534.92572000
2015,1,16,15,37,34,642.00000000,647.00000000,0.00000000,0.00000000,27.80625000,95210.00000000,536.23627000
2015,1,16,15,52,29,609.33331000,644.33331000,0.33333331,0.33333331,28.31875000,95215.00000000,535.88751000
2015,1,16,15,53,32,646.00000000,656.00000000,0.00000000,0.00000000,28.51874900,95213.00000000,535.62592000
2015,1,16,16,7,39,626.00000000,678.00000000,0.00000000,0.00000000,28.95624900,95210.00000000,536.58771000
2015,1,16,16,9,9,654.00000000,562.00000000,0.00000000,0.00000000,29.15000000,95207.00000000,536.84930000
2015,1,16,16,22,48,663.00000000,688.00000000,0.00000000,0.00000000,29.48125100,95194.00000000,537.63934000
2015,1,16,16,37,34,658.33331000,686.00000000,0.33333331,0.00000000,29.40625000,95192.00000000,537.98810000
2015,1,16,16,52,36,260.00000000,511.00000000,0.00000000,1.00000000,29.70624900,95189.00000000,538.68829000
2015,1,16,16,53,5,662.00000000,609.00000000,0.00000000,0.00000000,29.75000000,95182.00000000,538.42670000
2015,1,16,16,53,53,570.00000000,704.33331000,0.00000000,0.33333331,29.85625100,95180.00000000,538.95251000
